Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
purmerend-weidevenne,2021,869,0%,869,0,30%,8%,62%,50%,47%,31%,21%,1%,1%,13%,8%,5%,23%,0%,0%
purmerend-weidevenne,2022,1162,0%,1162,0,31%,7%,62%,50%,47%,31%,21%,1%,1%,13%,8%,5%,23%,0%,0%
santpoort-noord,2019,856,65%,856,0,29%,11%,60%,48%,79%,33%,12%,1%,1%,13%,2%,5%,5%,0%,1%
santpoort-noord,2020,404,0%,404,0,25%,13%,62%,48%,79%,33%,12%,1%,1%,13%,2%,5%,5%,0%,1%
santpoort-noord,2021,434,0%,434,0,21%,14%,65%,48%,79%,33%,12%,1%,1%,13%,2%,5%,5%,0%,1%
santpoort-noord,2022,575,0%,575,0,25%,13%,62%,48%,79%,33%,12%,1%,1%,13%,2%,5%,5%,0%,1%
santpoort-zuid,2019,992,91%,992,0,30%,9%,61%,47%,70%,42%,16%,0%,2%,8%,0%,3%,12%,0%,0%
santpoort-zuid,2020,488,0%,488,0,25%,11%,64%,47%,70%,42%,16%,0%,2%,8%,0%,3%,12%,0%,0%
santpoort-zuid,2021,512,0%,512,0,20%,13%,67%,47%,70%,42%,16%,0%,2%,8%,0%,3%,12%,0%,0%
santpoort-zuid,2022,703,0%,703,0,25%,11%,64%,47%,70%,42%,16%,0%,2%,8%,0%,3%,12%,0%,0%
schagen,2019,5488,73%,5488,0,26%,12%,62%,29%,63%,42%,18%,5%,2%,17%,1%,7%,16%,0%,0%
schagen,2020,2775,0%,2775,0,22%,14%,64%,29%,63%,42%,18%,5%,2%,17%,1%,7%,16%,0%,0%
schagen,2021,2932,0%,2932,0,22%,14%,64%,29%,63%,42%,18%,5%,2%,17%,1%,7%,16%,0%,0%
schagen,2022,3769,0%,3769,0,23%,13%,64%,29%,63%,42%,18%,5%,2%,17%,1%,7%,16%,0%,0%
schiphol-airport,2019,116714,86%,98071,18643,8%,18%,74%,44%,64%,5%,2%,43%,27%,2%,2%,5%,4%,1%,1%
schiphol-airport,2020,37330,0%,29753,7577,7%,18%,75%,44%,64%,5%,2%,43%,27%,2%,2%,5%,4%,1%,1%
schiphol-airport,2021,36649,0%,29001,7648,7%,17%,76%,44%,64%,5%,2%,43%,27%,2%,2%,5%,4%,1%,1%
schiphol-airport,2022,73830,0%,60757,13073,6%,17%,77%,44%,64%,5%,2%,43%,27%,2%,2%,5%,4%,1%,1%
uitgeest,2019,5976,50%,5128,848,36%,8%,56%,22%,26%,43%,28%,9%,18%,16%,5%,10%,23%,0%,0%
uitgeest,2020,2788,0%,2412,376,33%,9%,58%,22%,26%,43%,28%,9%,18%,16%,5%,10%,23%,0%,0%
uitgeest,2021,2915,0%,2497,418,29%,10%,61%,22%,26%,43%,28%,9%,18%,16%,5%,10%,23%,0%,0%
uitgeest,2022,3802,0%,3221,581,32%,9%,59%,22%,26%,43%,28%,9%,18%,16%,5%,10%,23%,0%,0%
weesp,2019,15979,67%,10746,5233,28%,16%,56%,36%,55%,34%,20%,4%,8%,16%,3%,10%,13%,0%,1%
weesp,2020,8134,0%,5566,2568,24%,17%,59%,36%,55%,34%,20%,4%,8%,16%,3%,10%,13%,0%,1%
weesp,2021,8199,0%,5553,2646,21%,17%,62%,36%,55%,34%,20%,4%,8%,16%,3%,10%,13%,0%,1%
weesp,2022,11460,0%,7705,3755,22%,15%,63%,36%,55%,34%,20%,4%,8%,16%,3%,10%,13%,0%,1%
wormerveer,2019,4448,62%,4448,0,33%,10%,57%,32%,51%,52%,24%,2%,6%,10%,2%,4%,16%,0%,1%
wormerveer,2020,2233,0%,2233,0,29%,11%,60%,32%,51%,52%,24%,2%,6%,10%,2%,4%,16%,0%,1%
wormerveer,2021,2252,0%,2252,0,27%,11%,62%,32%,51%,52%,24%,2%,6%,10%,2%,4%,16%,0%,1%
wormerveer,2022,3118,0%,3118,0,30%,10%,60%,32%,51%,52%,24%,2%,6%,10%,2%,4%,16%,0%,1%
zaandam,2019,26259,59%,23687,2572,21%,21%,58%,40%,73%,40%,11%,14%,11%,2%,0%,4%,5%,0%,0%
zaandam,2020,12470,0%,11396,1074,19%,20%,61%,40%,73%,40%,11%,14%,11%,2%,0%,4%,5%,0%,0%
zaandam,2021,12409,0%,11286,1123,18%,18%,64%,40%,73%,40%,11%,14%,11%,2%,0%,4%,5%,0%,0%
zaandam,2022,18395,0%,16669,1726,18%,18%,64%,40%,73%,40%,11%,14%,11%,2%,0%,4%,5%,0%,0%
zaandam-kogerveld,2019,1463,43%,1463,0,26%,14%,60%,31%,45%,38%,20%,13%,20%,13%,2%,5%,13%,0%,0%
zaandam-kogerveld,2020,895,0%,895,0,22%,16%,62%,31%,45%,38%,20%,13%,20%,13%,2%,5%,13%,0%,0%
zaandam-kogerveld,2021,955,0%,955,0,21%,16%,63%,31%,45%,38%,20%,13%,20%,13%,2%,5%,13%,0%,0%
zaandam-kogerveld,2022,1145,0%,1145,0,22%,16%,62%,31%,45%,38%,20%,13%,20%,13%,2%,5%,13%,0%,0%
zaandijk-zaanse-schans,2019,4535,58%,4535,0,22%,14%,64%,56%,77%,32%,7%,1%,0%,9%,1%,2%,15%,0%,0%
zaandijk-zaanse-schans,2020,1671,0%,1671,0,25%,13%,62%,56%,77%,32%,7%,1%,0%,9%,1%,2%,15%,0%,0%
zaandijk-zaanse-schans,2021,1666,0%,1666,0,22%,14%,64%,56%,77%,32%,7%,1%,0%,9%,1%,2%,15%,0%,0%
zaandijk-zaanse-schans,2022,2913,0%,2913,0,19%,15%,66%,56%,77%,32%,7%,1%,0%,9%,1%,2%,15%,0%,0%
zandvoort-aan-zee,2019,5858,79%,5858,0,16%,14%,70%,73%,83%,19%,8%,4%,4%,1%,1%,3%,4%,0%,0%
zandvoort-aan-zee,2020,2772,0%,2772,0,14%,15%,71%,73%,83%,19%,8%,4%,4%,1%,1%,3%,4%,0%,0%
zandvoort-aan-zee,2021,3447,0%,3447,0,12%,16%,72%,73%,83%,19%,8%,4%,4%,1%,1%,3%,4%,0%,0%
zandvoort-aan-zee,2022,5027,0%,5027,0,12%,15%,73%,73%,83%,19%,8%,4%,4%,1%,1%,3%,4%,0%,0%
