Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
halfweg-zwanenburg,2020,1441,0%,1441,0,22%,17%,61%,31%,55%,40%,20%,0%,1%,17%,6%,12%,18%,0%,0%
halfweg-zwanenburg,2021,1720,0%,1720,0,18%,18%,64%,31%,55%,40%,20%,0%,1%,17%,6%,12%,18%,0%,0%
halfweg-zwanenburg,2022,2349,0%,2349,0,18%,17%,65%,31%,55%,40%,20%,0%,1%,17%,6%,12%,18%,0%,0%
heemskerk,2019,2750,54%,2750,0,36%,6%,58%,46%,52%,40%,28%,2%,5%,9%,6%,3%,9%,0%,0%
heemskerk,2020,1430,0%,1430,0,32%,7%,61%,46%,52%,40%,28%,2%,5%,9%,6%,3%,9%,0%,0%
heemskerk,2021,1511,0%,1511,0,31%,8%,61%,46%,52%,40%,28%,2%,5%,9%,6%,3%,9%,0%,0%
heemskerk,2022,2001,0%,2001,0,33%,7%,60%,46%,52%,40%,28%,2%,5%,9%,6%,3%,9%,0%,0%
heemstede-aerdenhout,2019,7830,76%,7269,561,38%,10%,52%,11%,30%,69%,37%,6%,14%,6%,1%,8%,18%,0%,0%
heemstede-aerdenhout,2020,3448,0%,3226,222,31%,12%,57%,11%,30%,69%,37%,6%,14%,6%,1%,8%,18%,0%,0%
heemstede-aerdenhout,2021,3581,0%,3343,238,26%,14%,60%,11%,30%,69%,37%,6%,14%,6%,1%,8%,18%,0%,0%
heemstede-aerdenhout,2022,5140,0%,4754,386,30%,11%,59%,11%,30%,69%,37%,6%,14%,6%,1%,8%,18%,0%,0%
heerhugowaard,2019,8119,65%,7645,474,27%,14%,59%,14%,50%,51%,21%,3%,5%,19%,4%,12%,19%,1%,1%
heerhugowaard,2020,4010,0%,3748,262,25%,17%,58%,14%,50%,51%,21%,3%,5%,19%,4%,12%,19%,1%,1%
heerhugowaard,2021,4287,0%,4006,280,23%,16%,61%,14%,50%,51%,21%,3%,5%,19%,4%,12%,19%,1%,1%
heerhugowaard,2022,5588,0%,5199,389,25%,15%,60%,14%,50%,51%,21%,3%,5%,19%,4%,12%,19%,1%,1%
heiloo,2019,4999,75%,4999,0,36%,8%,56%,26%,37%,52%,32%,0%,6%,14%,4%,8%,21%,0%,0%
heiloo,2020,2332,0%,2332,0,32%,10%,58%,26%,37%,52%,32%,0%,6%,14%,4%,8%,21%,0%,0%
heiloo,2021,2433,0%,2433,0,29%,10%,61%,26%,37%,52%,32%,0%,6%,14%,4%,8%,21%,0%,0%
heiloo,2022,3532,0%,3532,0,31%,9%,60%,26%,37%,52%,32%,0%,6%,14%,4%,8%,21%,0%,0%
hilversum,2019,31692,74%,27490,4202,26%,18%,56%,32%,53%,50%,22%,11%,16%,1%,0%,6%,8%,0%,1%
hilversum,2020,14339,0%,12639,1700,21%,17%,62%,32%,53%,50%,22%,11%,16%,1%,0%,6%,8%,0%,1%
hilversum,2021,14694,0%,12992,1702,19%,17%,64%,32%,53%,50%,22%,11%,16%,1%,0%,6%,8%,0%,1%
hilversum,2022,21933,0%,19261,2672,21%,16%,63%,32%,53%,50%,22%,11%,16%,1%,0%,6%,8%,0%,1%
hilversum-media-park,2019,4684,70%,4684,0,10%,38%,52%,46%,90%,34%,5%,5%,2%,11%,0%,4%,3%,0%,0%
hilversum-media-park,2020,2021,0%,2021,0,9%,30%,61%,46%,90%,34%,5%,5%,2%,11%,0%,4%,3%,0%,0%
hilversum-media-park,2021,2064,0%,2064,0,8%,27%,65%,46%,90%,34%,5%,5%,2%,11%,0%,4%,3%,0%,0%
hilversum-media-park,2022,3253,0%,3253,0,8%,30%,62%,46%,90%,34%,5%,5%,2%,11%,0%,4%,3%,0%,0%
hilversum-sportpark,2019,8195,70%,8132,63,14%,25%,61%,33%,76%,34%,7%,20%,10%,10%,2%,3%,5%,0%,0%
hilversum-sportpark,2020,3149,0%,3109,40,14%,22%,64%,33%,76%,34%,7%,20%,10%,10%,2%,3%,5%,0%,0%
